Collecting initial RSSI for 60 seconds...
Starting DoS attack and measuring RSSI...
Ping: 7C:B0:73:FE:D3:B2 from E8:48:B8:C8:20:00 (data size 640) ...
640 bytes from 7C:B0:73:FE:D3:B2 id 25 time 51.79ms
640 bytes from 7C:B0:73:FE:D3:B2 id 26 time 60.20ms
640 bytes from 7C:B0:73:FE:D3:B2 id 27 time 68.02ms
640 bytes from 7C:B0:73:FE:D3:B2 id 28 time 51.97ms
640 bytes from 7C:B0:73:FE:D3:B2 id 29 time 79.96ms
640 bytes from 7C:B0:73:FE:D3:B2 id 30 time 55.99ms
640 bytes from 7C:B0:73:FE:D3:B2 id 31 time 52.05ms
640 bytes from 7C:B0:73:FE:D3:B2 id 32 time 75.94ms
640 bytes from 7C:B0:73:FE:D3:B2 id 33 time 79.98ms
640 bytes from 7C:B0:73:FE:D3:B2 id 34 time 56.01ms
640 bytes from 7C:B0:73:FE:D3:B2 id 35 time 52.04ms
640 bytes from 7C:B0:73:FE:D3:B2 id 36 time 75.96ms
640 bytes from 7C:B0:73:FE:D3:B2 id 37 time 75.96ms
640 bytes from 7C:B0:73:FE:D3:B2 id 38 time 75.86ms
640 bytes from 7C:B0:73:FE:D3:B2 id 39 time 56.12ms
640 bytes from 7C:B0:73:FE:D3:B2 id 40 time 72.05ms
640 bytes from 7C:B0:73:FE:D3:B2 id 41 time 51.77ms
640 bytes from 7C:B0:73:FE:D3:B2 id 42 time 87.96ms
640 bytes from 7C:B0:73:FE:D3:B2 id 43 time 75.98ms
640 bytes from 7C:B0:73:FE:D3:B2 id 44 time 56.27ms
640 bytes from 7C:B0:73:FE:D3:B2 id 45 time 79.73ms
640 bytes from 7C:B0:73:FE:D3:B2 id 46 time 84.25ms
640 bytes from 7C:B0:73:FE:D3:B2 id 47 time 55.95ms
640 bytes from 7C:B0:73:FE:D3:B2 id 48 time 104.04ms
640 bytes from 7C:B0:73:FE:D3:B2 id 49 time 51.91ms
640 bytes from 7C:B0:73:FE:D3:B2 id 50 time 80.07ms
640 bytes from 7C:B0:73:FE:D3:B2 id 51 time 79.68ms
640 bytes from 7C:B0:73:FE:D3:B2 id 52 time 76.00ms
640 bytes from 7C:B0:73:FE:D3:B2 id 53 time 56.05ms
640 bytes from 7C:B0:73:FE:D3:B2 id 54 time 56.02ms
640 bytes from 7C:B0:73:FE:D3:B2 id 0 time 59.98ms
640 bytes from 7C:B0:73:FE:D3:B2 id 1 time 56.00ms
640 bytes from 7C:B0:73:FE:D3:B2 id 2 time 56.01ms
640 bytes from 7C:B0:73:FE:D3:B2 id 3 time 95.98ms
640 bytes from 7C:B0:73:FE:D3:B2 id 4 time 56.19ms
640 bytes from 7C:B0:73:FE:D3:B2 id 5 time 55.98ms
640 bytes from 7C:B0:73:FE:D3:B2 id 6 time 64.03ms
640 bytes from 7C:B0:73:FE:D3:B2 id 7 time 52.00ms
640 bytes from 7C:B0:73:FE:D3:B2 id 8 time 55.95ms
640 bytes from 7C:B0:73:FE:D3:B2 id 9 time 60.01ms
640 bytes from 7C:B0:73:FE:D3:B2 id 10 time 68.02ms
640 bytes from 7C:B0:73:FE:D3:B2 id 11 time 71.96ms
640 bytes from 7C:B0:73:FE:D3:B2 id 12 time 71.76ms
640 bytes from 7C:B0:73:FE:D3:B2 id 13 time 76.25ms
640 bytes from 7C:B0:73:FE:D3:B2 id 14 time 75.98ms
640 bytes from 7C:B0:73:FE:D3:B2 id 15 time 76.00ms
640 bytes from 7C:B0:73:FE:D3:B2 id 16 time 63.99ms
640 bytes from 7C:B0:73:FE:D3:B2 id 17 time 84.06ms
640 bytes from 7C:B0:73:FE:D3:B2 id 18 time 75.95ms
640 bytes from 7C:B0:73:FE:D3:B2 id 19 time 75.97ms
640 bytes from 7C:B0:73:FE:D3:B2 id 20 time 71.97ms
640 bytes from 7C:B0:73:FE:D3:B2 id 21 time 80.01ms
640 bytes from 7C:B0:73:FE:D3:B2 id 22 time 71.98ms
640 bytes from 7C:B0:73:FE:D3:B2 id 23 time 75.99ms
640 bytes from 7C:B0:73:FE:D3:B2 id 24 time 72.02ms
640 bytes from 7C:B0:73:FE:D3:B2 id 25 time 79.99ms
640 bytes from 7C:B0:73:FE:D3:B2 id 26 time 71.79ms
640 bytes from 7C:B0:73:FE:D3:B2 id 27 time 76.20ms
640 bytes from 7C:B0:73:FE:D3:B2 id 28 time 71.97ms
640 bytes from 7C:B0:73:FE:D3:B2 id 29 time 120.01ms
640 bytes from 7C:B0:73:FE:D3:B2 id 30 time 67.97ms
640 bytes from 7C:B0:73:FE:D3:B2 id 31 time 75.90ms
640 bytes from 7C:B0:73:FE:D3:B2 id 32 time 76.06ms
640 bytes from 7C:B0:73:FE:D3:B2 id 33 time 76.02ms
640 bytes from 7C:B0:73:FE:D3:B2 id 34 time 72.03ms
640 bytes from 7C:B0:73:FE:D3:B2 id 35 time 75.83ms
640 bytes from 7C:B0:73:FE:D3:B2 id 36 time 76.13ms
640 bytes from 7C:B0:73:FE:D3:B2 id 37 time 76.02ms
640 bytes from 7C:B0:73:FE:D3:B2 id 38 time 111.94ms
