Collecting initial RSSI for 60 seconds...
Starting DoS attack and measuring RSSI...
Ping: 94:52:44:87:83:be from AC:3E:B1:75:7C:031(data size 640) ...
640 bytes from 94:52:44:87:83:be id 27 time 39.90ms
640 bytes from 94:52:44:87:83:be id 28 time 48.04ms
640 bytes from 94:52:44:87:83:be id 29 time 51.92ms
640 bytes from 94:52:44:87:83:be id 30 time 44.12ms
640 bytes from 94:52:44:87:83:be id 31 time 35.86ms
640 bytes from 94:52:44:87:83:be id 32 time 40.12ms
640 bytes from 94:52:44:87:83:be id 33 time 47.96ms
640 bytes from 94:52:44:87:83:be id 34 time 51.99ms
640 bytes from 94:52:44:87:83:be id 35 time 44.01ms
640 bytes from 94:52:44:87:83:be id 36 time 51.87ms
640 bytes from 94:52:44:87:83:be id 37 time 43.93ms
640 bytes from 94:52:44:87:83:be id 38 time 47.95ms
640 bytes from 94:52:44:87:83:be id 39 time 44.11ms
640 bytes from 94:52:44:87:83:be id 40 time 315.85ms
640 bytes from 94:52:44:87:83:be id 41 time 536.06ms
640 bytes from 94:52:44:87:83:be id 42 time 44.01ms
640 bytes from 94:52:44:87:83:be id 43 time 47.94ms
640 bytes from 94:52:44:87:83:be id 44 time 40.02ms
640 bytes from 94:52:44:87:83:be id 45 time 39.79ms
640 bytes from 94:52:44:87:83:be id 46 time 40.12ms
640 bytes from 94:52:44:87:83:be id 47 time 48.05ms
640 bytes from 94:52:44:87:83:be id 48 time 47.70ms
640 bytes from 94:52:44:87:83:be id 49 time 51.97ms
640 bytes from 94:52:44:87:83:be id 50 time 40.12ms
640 bytes from 94:52:44:87:83:be id 51 time 27.99ms
640 bytes from 94:52:44:87:83:be id 52 time 51.95ms
640 bytes from 94:52:44:87:83:be id 53 time 47.90ms
640 bytes from 94:52:44:87:83:be id 54 time 48.25ms
640 bytes from 94:52:44:87:83:be id 0 time 43.99ms
640 bytes from 94:52:44:87:83:be id 1 time 48.00ms
640 bytes from 94:52:44:87:83:be id 2 time 44.02ms
640 bytes from 94:52:44:87:83:be id 3 time 27.98ms
640 bytes from 94:52:44:87:83:be id 4 time 47.99ms
640 bytes from 94:52:44:87:83:be id 5 time 44.00ms
640 bytes from 94:52:44:87:83:be id 6 time 51.97ms
640 bytes from 94:52:44:87:83:be id 7 time 60.00ms
640 bytes from 94:52:44:87:83:be id 8 time 31.98ms
640 bytes from 94:52:44:87:83:be id 9 time 48.00ms
640 bytes from 94:52:44:87:83:be id 10 time 35.98ms
640 bytes from 94:52:44:87:83:be id 11 time 43.81ms
640 bytes from 94:52:44:87:83:be id 12 time 40.17ms
640 bytes from 94:52:44:87:83:be id 13 time 35.99ms
640 bytes from 94:52:44:87:83:be id 14 time 43.99ms
640 bytes from 94:52:44:87:83:be id 15 time 43.97ms
640 bytes from 94:52:44:87:83:be id 16 time 47.87ms
640 bytes from 94:52:44:87:83:be id 17 time 47.96ms
640 bytes from 94:52:44:87:83:be id 18 time 44.07ms
640 bytes from 94:52:44:87:83:be id 19 time 39.78ms
640 bytes from 94:52:44:87:83:be id 20 time 40.26ms
640 bytes from 94:52:44:87:83:be id 21 time 42.60ms
640 bytes from 94:52:44:87:83:be id 22 time 41.09ms
640 bytes from 94:52:44:87:83:be id 23 time 36.10ms
640 bytes from 94:52:44:87:83:be id 24 time 48.08ms
640 bytes from 94:52:44:87:83:be id 25 time 39.96ms
640 bytes from 94:52:44:87:83:be id 26 time 35.97ms
640 bytes from 94:52:44:87:83:be id 27 time 39.81ms
640 bytes from 94:52:44:87:83:be id 28 time 36.22ms
640 bytes from 94:52:44:87:83:be id 29 time 36.09ms
640 bytes from 94:52:44:87:83:be id 30 time 23.91ms
640 bytes from 94:52:44:87:83:be id 31 time 48.01ms
640 bytes from 94:52:44:87:83:be id 32 time 47.96ms
640 bytes from 94:52:44:87:83:be id 33 time 44.10ms
640 bytes from 94:52:44:87:83:be id 34 time 47.79ms
640 bytes from 94:52:44:87:83:be id 35 time 51.98ms
640 bytes from 94:52:44:87:83:be id 36 time 40.06ms
640 bytes from 94:52:44:87:83:be id 37 time 63.93ms
640 bytes from 94:52:44:87:83:be id 38 time 44.12ms
640 bytes from 94:52:44:87:83:be id 39 time 48.05ms
640 bytes from 94:52:44:87:83:be id 40 time 47.88ms
640 bytes from 94:52:44:87:83:be id 41 time 39.98ms
640 bytes from 94:52:44:87:83:be id 42 time 44.02ms
640 bytes from 94:52:44:87:83:be id 43 time 40.05ms
640 bytes from 94:52:44:87:83:be id 44 time 43.97ms
640 bytes from 94:52:44:87:83:be id 45 time 48.00ms
640 bytes from 94:52:44:87:83:be id 46 time 51.94ms
640 bytes from 94:52:44:87:83:be id 47 time 43.93ms
640 bytes from 94:52:44:87:83:be id 48 time 39.99ms
640 bytes from 94:52:44:87:83:be id 49 time 60.00ms
640 bytes from 94:52:44:87:83:be id 50 time 31.94ms
640 bytes from 94:52:44:87:83:be id 51 time 39.97ms
640 bytes from 94:52:44:87:83:be id 52 time 43.95ms
640 bytes from 94:52:44:87:83:be id 53 time 43.99ms
640 bytes from 94:52:44:87:83:be id 54 time 44.09ms
640 bytes from 94:52:44:87:83:be id 0 time 44.00ms
640 bytes from 94:52:44:87:83:be id 1 time 43.96ms
640 bytes from 94:52:44:87:83:be id 2 time 40.00ms
640 bytes from 94:52:44:87:83:be id 3 time 51.87ms
640 bytes from 94:52:44:87:83:be id 4 time 40.12ms
640 bytes from 94:52:44:87:83:be id 5 time 43.84ms
640 bytes from 94:52:44:87:83:be id 6 time 44.22ms
640 bytes from 94:52:44:87:83:be id 7 time 47.93ms
640 bytes from 94:52:44:87:83:be id 8 time 40.00ms
640 bytes from 94:52:44:87:83:be id 9 time 47.90ms
640 bytes from 94:52:44:87:83:be id 10 time 48.05ms
640 bytes from 94:52:44:87:83:be id 11 time 59.92ms
640 bytes from 94:52:44:87:83:be id 12 time 35.91ms
640 bytes from 94:52:44:87:83:be id 13 time 52.08ms
640 bytes from 94:52:44:87:83:be id 14 time 44.03ms
640 bytes from 94:52:44:87:83:be id 15 time 43.91ms
640 bytes from 94:52:44:87:83:be id 16 time 44.06ms
640 bytes from 94:52:44:87:83:be id 17 time 39.91ms
640 bytes from 94:52:44:87:83:be id 18 time 32.02ms
640 bytes from 94:52:44:87:83:be id 19 time 51.99ms
640 bytes from 94:52:44:87:83:be id 20 time 43.92ms
640 bytes from 94:52:44:87:83:be id 21 time 40.00ms
640 bytes from 94:52:44:87:83:be id 22 time 40.10ms
640 bytes from 94:52:44:87:83:be id 23 time 39.99ms
640 bytes from 94:52:44:87:83:be id 24 time 51.75ms
640 bytes from 94:52:44:87:83:be id 25 time 40.03ms
640 bytes from 94:52:44:87:83:be id 26 time 43.95ms
640 bytes from 94:52:44:87:83:be id 27 time 40.20ms
640 bytes from 94:52:44:87:83:be id 28 time 43.83ms
640 bytes from 94:52:44:87:83:be id 29 time 43.99ms
640 bytes from 94:52:44:87:83:be id 30 time 48.15ms
640 bytes from 94:52:44:87:83:be id 31 time 39.97ms
640 bytes from 94:52:44:87:83:be id 32 time 48.01ms
640 bytes from 94:52:44:87:83:be id 33 time 43.99ms
640 bytes from 94:52:44:87:83:be id 34 time 47.91ms
640 bytes from 94:52:44:87:83:be id 35 time 44.02ms
640 bytes from 94:52:44:87:83:be id 36 time 44.05ms
640 bytes from 94:52:44:87:83:be id 37 time 39.86ms
640 bytes from 94:52:44:87:83:be id 38 time 48.13ms
640 bytes from 94:52:44:87:83:be id 39 time 43.92ms
640 bytes from 94:52:44:87:83:be id 40 time 56.03ms
640 bytes from 94:52:44:87:83:be id 41 time 39.99ms
640 bytes from 94:52:44:87:83:be id 42 time 31.92ms
640 bytes from 94:52:44:87:83:be id 43 time 36.02ms
640 bytes from 94:52:44:87:83:be id 44 time 43.96ms
640 bytes from 94:52:44:87:83:be id 45 time 28.04ms
640 bytes from 94:52:44:87:83:be id 46 time 39.98ms
640 bytes from 94:52:44:87:83:be id 47 time 39.92ms
640 bytes from 94:52:44:87:83:be id 48 time 44.04ms
640 bytes from 94:52:44:87:83:be id 49 time 47.85ms
640 bytes from 94:52:44:87:83:be id 50 time 44.13ms
640 bytes from 94:52:44:87:83:be id 51 time 39.98ms
640 bytes from 94:52:44:87:83:be id 52 time 43.99ms
640 bytes from 94:52:44:87:83:be id 53 time 47.87ms
640 bytes from 94:52:44:87:83:be id 54 time 39.97ms
640 bytes from 94:52:44:87:83:be id 0 time 51.84ms
640 bytes from 94:52:44:87:83:be id 1 time 39.98ms
640 bytes from 94:52:44:87:83:be id 2 time 48.08ms
640 bytes from 94:52:44:87:83:be id 3 time 43.98ms
640 bytes from 94:52:44:87:83:be id 4 time 48.24ms
640 bytes from 94:52:44:87:83:be id 5 time 43.91ms
640 bytes from 94:52:44:87:83:be id 6 time 52.02ms
640 bytes from 94:52:44:87:83:be id 7 time 40.02ms
640 bytes from 94:52:44:87:83:be id 8 time 39.94ms
640 bytes from 94:52:44:87:83:be id 9 time 48.01ms
640 bytes from 94:52:44:87:83:be id 10 time 51.95ms
640 bytes from 94:52:44:87:83:be id 11 time 43.98ms
640 bytes from 94:52:44:87:83:be id 12 time 40.02ms
640 bytes from 94:52:44:87:83:be id 13 time 47.85ms
640 bytes from 94:52:44:87:83:be id 14 time 60.12ms
640 bytes from 94:52:44:87:83:be id 15 time 28.01ms
